#Glxy_N Dist           Sigma           M_bulge          M_galaxy       L_OIII          L_core_R   Re_arcsec		Re_kpc                          Radiomorphology 
N5112	17.0		60.8		0.00000000	9.50951099	37.42		35.4	   0.00000000	        0.00000000			0
N5204	4.6		39.9		8.6662569	8.89254379	36.58		34.14	   0.878108	        0.019318375895321368		0
N5273	18.6		71.0		10.0463381	10.5983257	39.82		35.31	   0.37388903	 	0.0332761242494236		6
N5308	30.1		249.0		10.8384581	11.2748041	0.000		35.82	   0.57887995 	 	0.08335870921159089		0
N5322	27.0		230.0		11.3000000	11.5000000	38.20		37.0	   3.9215996	 	0.5058863217530072		2
N5353	36.1		286.4		10.4122219	11.1018076	38.73		37.63	   0.688		0.11833600401878357		1
N5354	39.8		217.4		10.8833113	11.2133684	38.61		36.94	   1.212057	        0.2290787676539272		1
N5377	28.0		169.7		11.1810474	11.4941578	38.81		35.71	   1.887926	        0.2529820903016329	 	3
N5448	31.1		124.5		9.47961617	10.4000094	38.55		35.73	   0.932591	        0.13895606266872584		3
N5457	5.17		23.6		8.27937698	8.95730972	36.99		34.28	   0.274125	        0.00685312510211952		0
N5474	5.7		29.0		8.38705826	9.00666714	37.35		34.38	   0.36682203	  	0.009904195066905487		0
N5548	77.6		291.0		10.75704	11.0993042	41.60		36.96	   1.21968	        0.4427438466882706		2
N5557	46.4		259.0		11.4000000	11.4000000	0.000		35.94	   7.0064	        1.6254847532272338		0
N5585	5.62		42.0		7.34859324	8.58417702	37.68		34.53	   0.16983001	  	0.0045854103889412245		0
N5631	29.3		168.1		11.3728533	11.3938465	38.76		35.89	   4.20182	        0.5882548025044798		0
N5866	11.8		169.1		10.3932266	10.7925062	37.50		36.5	   0.61035603	 	0.03479029372819003		4
N5879	12.0		73.9		9.37492085	10.2092772	37.89		35.27	   0.416904		0.024180431304216383		1
N5907	10.4		120.2		0.00000000	11.160861	36.88		35.03	   0.00000000		0.00000000			6
N5982	44.0		239.4		11.3646698	11.3646698	38.55		35.8	   0.209	        0.0436810013204813		0
N5985	36.7		157.6		10.7753658	11.3703566	38.76		35.76	   3.0478	        0.5333649909168482		4
N6140	12.9		49.4		8.82851505	9.29893589	37.52		35.15	   0.78771	        0.04883801920183003		0
N6207	12.3		92.1		8.78690815	9.92282963	38.30		35.19	   0.4764	        0.028583999361097814		0
N6217	19.1		70.3		9.48334694	10.0612812	39.25		35.66	   0.593584	        0.05460972810614109		1
N6340	16.6		143.9		10.7257805	10.8951435	38.31		35.53	   2.53168		0.2025343954730034		1
N6412	18.1		49.9		9.02677822	9.63829899	37.59		35.4	   0.810231	        0.0704900949716717		0
N6482	55.7		310.4		11.2449245	11.3379717	0.000		36.37	   5.001997	        1.315525268243313		1
N6503	4.89		46.0		7.70321751	9.88426876	0.000		34.3	   0.034188	        7.521359959244729E-4		0
N6654	25.0		172.2		10.4525194	11.0832834	0.000		35.61	   0.44651997	 	0.05358239520234011	 	0
N6946	5.0		55.8		8.28654575	9.25043583	37.03		34.43	   0.12636	        0.00303264002636075		5
N6951	18.2		127.8		10.3314409	10.8353729	38.69		35.42	   1.254453	        0.10913740785960853		3
N7217	8.96		141.4		10.6045332	10.7311583	38.31		35.09	   1.3227661	 	0.056878944231653586		3
N7331	7.01		137.2		10.249856	10.9160089	38.30		34.95	   0.333642		0.011343828616484999		0
N7457	7.2		69.4		9.57676983	10.0858955	0.000		34.88	   0.39389	        0.013786150058694184		0
N7640	0.88		48.1		7.20993423	7.86455917	36.84		34.51	   0.11171601	 	4.46864061224903E-4		0
N7741	5.76		29.4		7.86642838	8.13275528	37.91		34.7	   0.30550802	 	0.008554224824040606		0


Notes:
-Glxy_N: galaxy name

-Dist: Distance in Mpc

-Sigma: central velocity dispersion in km/s
Galaxies with no available sigma values are denoted by 0.00

-M_bulge: stellar mass of the spheroidal component of the galaxy
Bulgeless galaxies are denoted by 0.0000000


-M_galaxy: stellar mass of the galaxy

-L_OIII: OIII luminosity [erg/s]
Galaxies with no available data are denoted by 0.00

-L_core_R: radio core luminosity [erg/s]
-Re_arcsec: effective radius in arcsec 
-Re_kpc:  effective radius in kpc

-Radio morphology coded in numbers:
0- undetected
1-morphological class: A = core/core–jet
2- class B = one-sided jet
3- class C = triple
4- class  D = doubled-lobed
5- class  E = jet+complex
6-  detected but core unidentified







