|redshift|flux_20_cm|log_bh_mass|log_lbol|log_lbol_ledd|rf_flux_6_cm|radio_class|
|  0.7333|          |      8.590|  45.696|       -1.008|            |ndRI       |
|  0.7381|          |      8.385|  46.117|       -0.382|            |ndRI       |
|  0.7404|          |      8.353|  45.684|       -0.782|            |NC         |
|  0.7408|          |      7.952|  45.951|       -0.115|            |NC         |
|  0.7423|          |      8.316|  45.703|       -0.727|            |ndRI       |
|  0.7451|          |      8.669|  45.899|       -0.884|            |ndRI       |
|  0.7642|          |      8.675|  46.764|       -0.025|            |ndRI       |
|  0.7654|          |      8.157|  45.689|       -0.582|            |ndRI       |
|  0.7661|          |      7.869|  45.630|       -0.353|            |NC         |
|  0.7665|          |      8.098|  44.911|       -1.301|            |ndRI       |
|  0.7668|          |      8.934|  46.079|       -0.969|            |ndRI       |
|  0.7692|          |      8.705|  44.722|       -2.097|            |NC         |
|  0.7702|          |      8.229|  45.884|       -0.459|            |NC         |
|  0.7794|          |      8.532|  45.181|       -1.465|            |NC         |
|  0.7824|    1.5968|      8.894|  45.789|       -1.219|      1.1677|dRI        |
|  0.7863|          |      8.761|  45.900|       -0.975|            |ndRI       |
|  0.7891|          |      8.909|  45.081|       -1.942|            |ndRI       |
|  0.7921|          |      8.183|  45.449|       -0.849|            |NC         |
|  0.7925|          |      8.710|  45.879|       -0.944|            |ndRI       |
|  0.7955|          |      9.060|  46.232|       -0.942|            |NC         |
|  0.7973|          |      8.170|  45.944|       -0.341|            |NC         |
|  0.8028|          |      8.628|  46.362|       -0.380|            |ndRI       |
|  0.8035|          |      8.639|  45.052|       -1.701|            |ndRI       |
|  0.8041|          |      8.733|  46.208|       -0.639|            |ndRI       |
|  0.8046|    1.3600|      9.095|  44.483|       -2.727|      1.0007|dRI        |
|  0.8071|    1.3614|      8.421|  45.531|       -1.004|      1.0024|dRI        |
|  0.8116|          |      8.958|  46.041|       -1.030|            |ndRI       |
|  0.8181|          |      8.725|  45.144|       -1.694|            |ndRI       |
|  0.8208|          |      8.532|  46.782|        0.137|            |ndRI       |
|  0.8212|          |      8.589|  45.081|       -1.622|            |ndRI       |
|  0.8224|          |      8.617|  46.085|       -0.646|            |NC         |
|  0.8241|          |      8.519|  44.781|       -1.852|            |ndRI       |
|  0.8247|          |      8.594|  45.601|       -1.107|            |ndRI       |
|  0.8263|          |      8.707|  46.543|       -0.278|            |ndRI       |
|  0.8288|    8.9975|      8.743|  47.490|        0.633|      6.6645|RL         |
|  0.8297|          |      9.063|  45.570|       -1.607|            |ndRI       |
|  0.8309|          |      8.068|  45.277|       -0.905|            |NC         |
|  0.8367|          |      8.504|  45.622|       -0.996|            |NC         |
|  0.8370|          |      8.354|  45.676|       -0.792|            |ndRI       |
|  0.8386|          |      9.459|  45.716|       -1.858|            |ndRI       |
|  0.8388|          |      8.328|  45.501|       -0.941|            |ndRI       |
|  0.8400|          |      9.005|  46.439|       -0.680|            |ndRI       |
|  0.8420|          |      8.304|  45.244|       -1.174|            |ndRI       |
|  0.8436|          |      8.461|  45.606|       -0.969|            |ndRI       |
|  0.8440|          |      8.645|  45.069|       -1.690|            |NC         |
|  0.8466|          |      9.114|  46.447|       -0.781|            |NC         |
|  0.8473|          |      8.926|  46.571|       -0.469|            |ndRI       |
|  0.8483|          |      8.931|  45.515|       -1.530|            |NC         |
|  0.8532|          |      8.785|  46.053|       -0.846|            |ndRI       |
|  0.8538|          |      8.708|  46.183|       -0.639|            |NC         |
|  0.8538|          |      8.917|  45.415|       -1.616|            |ndRI       |
|  0.8654|  349.1485|      8.474|  46.772|        0.184|    261.1883|RL         |
|  0.8666|          |      8.596|  45.501|       -1.209|            |ndRI       |
|  0.8727|          |      8.434|  45.377|       -1.171|            |ndRI       |
|  0.8732|          |      8.906|  46.065|       -0.954|            |ndRI       |
|  0.8750|          |      8.132|  44.636|       -1.609|            |NC         |
|  0.8774|          |      8.373|  45.449|       -1.038|            |ndRI       |
|  0.8790|          |      8.926|  45.423|       -1.616|            |NC         |
|  0.8811|          |      8.335|  45.924|       -0.525|            |ndRI       |
|  0.8874|          |      8.741|  46.090|       -0.766|            |NC         |
|  0.8896|          |      8.418|  45.659|       -0.873|            |ndRI       |
|  0.8908|          |      9.193|  46.102|       -1.204|            |ndRI       |
|  0.8912| 1536.6351|      8.733|  47.231|        0.383|   1157.4462|RL         |
|  0.8916|          |      8.290|  46.598|        0.195|            |ndRI       |
|  0.8967|          |      8.395|  44.875|       -1.634|            |NC         |
|  0.9009|    5.3645|      8.415|  44.575|       -1.954|      4.0510|RL         |
|  0.9038|  211.2089|      8.452|  46.805|        0.240|    159.6173|RL         |
