|redshift|flux_20_cm|log_bh_mass|log_lbol|log_lbol_ledd|rf_flux_6_cm|radio_class|
|  2.0403|          |      9.587|  47.392|       -0.309|            |ndRI       |
|  2.0408|          |      8.981|  46.451|       -0.644|            |ndRI       |
|  2.0423|          |      8.902|  46.490|       -0.526|            |ndRI       |
|  2.0449|          |      9.561|  46.768|       -0.907|            |ndRI       |
|  2.0471|          |      9.090|  45.210|       -1.994|            |ndRI       |
|  2.0476|          |      9.709|  48.109|        0.286|            |RQ         |
|  2.0523|    8.8263|      8.773|  46.866|       -0.020|      8.4460|RL         |
|  2.0533|          |      8.930|  45.921|       -1.123|            |ndRI       |
|  2.0541|          |      9.032|  46.252|       -0.894|            |NC         |
|  2.0543|          |      9.182|  46.785|       -0.511|            |ndRI       |
|  2.0570|          |      9.287|  46.443|       -0.958|            |ndRI       |
|  2.0583|          |      9.228|  45.906|       -1.435|            |NC         |
|  2.0646|          |      8.845|  45.574|       -1.385|            |ndRI       |
|  2.0675|          |      9.641|  46.810|       -0.944|            |ndRI       |
|  2.0683|          |      9.208|  46.906|       -0.416|            |ndRI       |
|  2.0685|          |      7.970|  44.936|       -1.147|            |NC         |
|  2.0702|          |      9.064|  46.450|       -0.728|            |ndRI       |
|  2.0703|          |      8.458|  45.832|       -0.740|            |ndRI       |
|  2.0711|          |      9.369|  46.616|       -0.867|            |           |
|  2.0728|          |      8.976|  46.756|       -0.333|            |NC         |
|  2.0734|          |      9.505|  46.613|       -1.006|            |ndRI       |
|  2.0810|          |      9.417|  46.630|       -0.900|            |ndRI       |
|  2.0822|          |      8.629|  46.276|       -0.467|            |NC         |
|  2.0951|          |      9.373|  47.152|       -0.335|            |ndRI       |
|  2.0975|          |      9.213|  46.572|       -0.755|            |ndRI       |
|  2.0992|          |      9.557|  47.533|       -0.138|            |ndRI       |
|  2.1022|          |      9.077|  46.025|       -1.166|            |ndRI       |
|  2.1133|          |      8.596|  45.183|       -1.527|            |ndRI       |
|  2.1158|          |      9.010|  46.731|       -0.393|            |NC         |
|  2.1200|          |      9.298|  47.058|       -0.354|            |ndRI       |
|  2.1226|          |      9.307|  46.540|       -0.881|            |NC         |
|  2.1280|          |      9.757|  46.146|       -1.725|            |           |
|  2.1319|          |      9.537|  46.087|       -1.564|            |ndRI       |
|  2.1462|          |      8.756|  46.476|       -0.394|            |ndRI       |
|  2.1584|          |      9.041|  46.942|       -0.212|            |ndRI       |
|  2.1632|          |      9.227|  47.072|       -0.269|            |ndRI       |
|  2.1754|          |      9.377|  46.484|       -1.007|            |ndRI       |
|  2.1780|    1.3229|      8.191|  46.700|        0.395|      1.2917|NC         |
|  2.1805|  158.6117|      8.226|  47.821|        1.482|    154.9321|RL         |
|  2.1852|          |      9.305|  46.552|       -0.866|            |ndRI       |
|  2.1861|          |      9.215|  46.956|       -0.372|            |ndRI       |
|  2.2008|          |      9.506|  46.067|       -1.553|            |           |
|  2.2179|          |      9.582|  47.187|       -0.509|            |ndRI       |
|  2.2213|  297.1273|      9.093|  47.699|        0.492|    292.0919|RL         |
|  2.2239|   45.1979|      9.303|  48.142|        0.726|     44.4494|RL         |
|  2.2239|          |      9.187|  46.996|       -0.304|            |ndRI       |
|  2.2284|          |      8.650|  45.412|       -1.351|            |NC         |
|  2.2319|          |      8.721|  46.550|       -0.286|            |ndRI       |
|  2.2365|          |      9.291|  46.117|       -1.288|            |ndRI       |
